,State,Agency_Type,Agency_Name,Population,Total_Offenses,Crimes_Against_Persons,Crimes_Against_Property,Crimes_Against_Society,Crimes_Against_Persons,Aggravated_Assault,Simple_Assault,Intimidation,Homicide_Offenses,Murder_and_Nonnegligent_Manslaughter,Negligent_Manslaughter,Justifiable_Homicide,Kidnapping__Abduction,Sex_Offenses,Rape,Sodomy,Sexual_Assault_With_An_Object,Fondling,"Sex_Offenses,_Nonforcible",Incest,Statutory_Rape,Arson,Bribery,Burglary__Breaking_&_Entering,Counterfeiting__Forgery,Destruction__Damage__Vandalism,Embezzlement,Extortion__Blackmail,Fraud_Offenses,False_Pretenses__Swindle__Confidence_Game,Credit_Card__Automated_Teller_Machine_Fraud,Impersonation,Welfare_Fraud,Wire_Fraud,LarcenyTheft_Offenses,Pocketpicking,Pursesnatching,Shoplifting,Theft_From_Building,Theft_From_Coinoperated_Machine,Theft_From_Motor_Vehicle,Theft_of_Motor_Vehicle_Parts_or_Accessories,All_Other_Larceny,Motor_Vehicle_Theft,Robbery,Stolen_Property_Offenses_,Drug__Narcotic_Offenses,Drug__Narcotic_Violations,Drug_Equipment_Violations,Gambling_Offenses,Betting__Wagering,Operating__Promoting__Assisting_Gambling,Gambling_Equipment_Violations,Sports_Tampering,Pornography__Obscene_Material,Prostitution_Offenses,Prostitution,Assisting_or_Promoting_Prostitution,Weapon_Law_Violations,Region
13,Arkansas,Cities,Beebe,7449.0,747.0,247.0,420.0,80.0,242,32.0,109.0,101.0,,,,,,4.0,3.0,,1.0,,1.0,1.0,,1.0,,64.0,13.0,82.0,,,29.0,4.0,19.0,,,6.0,199.0,1.0,1.0,19.0,22.0,,16.0,1.0,139.0,13.0,,19.0,70.0,44.0,26.0,,,,,,,,,,10.0,South Central (West)
14,Arkansas,Cities,Bella Vista,27310.0,679.0,104.0,390.0,185.0,93,23.0,36.0,34.0,1.0,1.0,,,3.0,7.0,1.0,2.0,,4.0,,,,,,90.0,18.0,81.0,,,18.0,5.0,11.0,2.0,,,171.0,,,1.0,59.0,1.0,34.0,2.0,74.0,3.0,,9.0,176.0,109.0,67.0,,,,,,,,,,9.0,South Central (West)
15,Arkansas,Cities,Benton,31486.0,2913.0,620.0,2013.0,280.0,597,80.0,322.0,195.0,,,,,3.0,17.0,13.0,1.0,,3.0,3.0,,3.0,6.0,,228.0,136.0,328.0,,,108.0,8.0,94.0,5.0,,1.0,1070.0,3.0,3.0,126.0,59.0,1.0,234.0,107.0,537.0,90.0,23.0,24.0,258.0,166.0,92.0,,,,,,2.0,,,,20.0,South Central (West)
16,Arkansas,Cities,Bentonville,36433.0,2166.0,362.0,1175.0,629.0,309,61.0,89.0,159.0,2.0,2.0,,,10.0,40.0,15.0,6.0,,19.0,1.0,1.0,,5.0,,154.0,37.0,203.0,2.0,,78.0,11.0,41.0,26.0,,,630.0,2.0,1.0,36.0,,,158.0,10.0,423.0,26.0,5.0,35.0,594.0,328.0,266.0,,,,,,4.0,7.0,7.0,,24.0,South Central (West)
17,Arkansas,Cities,Berryville,5389.0,450.0,101.0,323.0,26.0,86,13.0,55.0,18.0,,,,,,15.0,8.0,6.0,,1.0,,,,,,68.0,16.0,18.0,,,11.0,1.0,7.0,3.0,,,191.0,,,27.0,1.0,1.0,1.0,,161.0,19.0,,,24.0,18.0,6.0,,,,,,,,,,2.0,South Central (West)
18,Arkansas,Cities,Blytheville,15506.0,2651.0,771.0,1774.0,106.0,741,140.0,394.0,207.0,8.0,8.0,,,3.0,19.0,9.0,1.0,2.0,7.0,,,,2.0,,475.0,61.0,426.0,,,76.0,36.0,34.0,6.0,,,643.0,2.0,3.0,117.0,6.0,3.0,90.0,17.0,405.0,51.0,39.0,1.0,73.0,69.0,4.0,,,,,,,,,,33.0,South Central (West)
19,Arkansas,Cities,Booneville,3993.0,296.0,77.0,179.0,40.0,71,10.0,46.0,15.0,,,,,3.0,3.0,2.0,,,1.0,,,,,,30.0,11.0,31.0,,,7.0,1.0,5.0,1.0,,,90.0,,,13.0,12.0,,5.0,1.0,59.0,3.0,1.0,6.0,36.0,22.0,14.0,,,,,,,,,,4.0,South Central (West)
20,Arkansas,Cities,Bradford,774.0,72.0,29.0,36.0,7.0,29,2.0,14.0,13.0,,,,,,,,,,,,,,,,3.0,2.0,8.0,,,6.0,,3.0,3.0,,,16.0,,,1.0,,1.0,,1.0,13.0,1.0,,,6.0,2.0,4.0,,,,,,,,,,1.0,South Central (West)
21,Arkansas,Cities,Brinkley,3171.0,188.0,34.0,154.0,0.0,32,18.0,14.0,,,,,,,2.0,2.0,,,,,,,2.0,,44.0,,23.0,,,,,,,,,76.0,,,2.0,,,,4.0,70.0,3.0,5.0,1.0,,,,,,,,,,,,,,South Central (West)
22,Arkansas,Cities,Bryant,17129.0,1606.0,179.0,1304.0,123.0,170,,106.0,64.0,,,,,3.0,6.0,5.0,,,1.0,,,,,,179.0,61.0,134.0,,,107.0,42.0,65.0,,,,755.0,,,278.0,,,13.0,,464.0,34.0,11.0,23.0,115.0,81.0,34.0,,,,,,,,,,8.0,South Central (West)
23,Arkansas,Cities,Bull Shoals,1947.0,83.0,17.0,48.0,18.0,16,4.0,11.0,1.0,,,,,,1.0,,,,1.0,,,,,,5.0,5.0,6.0,,,,,,,,,31.0,,1.0,10.0,5.0,,1.0,,14.0,,,1.0,17.0,9.0,8.0,,,,,,,,,,1.0,South Central (West)
24,Arkansas,Cities,Cabot,24212.0,2414.0,439.0,1823.0,152.0,420,50.0,220.0,150.0,,,,,1.0,18.0,5.0,,,13.0,,,,1.0,,483.0,63.0,269.0,,,84.0,4.0,56.0,24.0,,,825.0,7.0,4.0,125.0,144.0,,256.0,13.0,276.0,48.0,6.0,44.0,136.0,83.0,53.0,,,,,,3.0,,,,13.0,South Central (West)
