,State,Agency_Type,Agency_Name,Population,Total_Offenses,Crimes_Against_Persons,Crimes_Against_Property,Crimes_Against_Society,Crimes_Against_Persons,Aggravated_Assault,Simple_Assault,Intimidation,Homicide_Offenses,Murder_and_Nonnegligent_Manslaughter,Negligent_Manslaughter,Justifiable_Homicide,Kidnapping__Abduction,Sex_Offenses,Rape,Sodomy,Sexual_Assault_With_An_Object,Fondling,"Sex_Offenses,_Nonforcible",Incest,Statutory_Rape,Arson,Bribery,Burglary__Breaking_&_Entering,Counterfeiting__Forgery,Destruction__Damage__Vandalism,Embezzlement,Extortion__Blackmail,Fraud_Offenses,False_Pretenses__Swindle__Confidence_Game,Credit_Card__Automated_Teller_Machine_Fraud,Impersonation,Welfare_Fraud,Wire_Fraud,LarcenyTheft_Offenses,Pocketpicking,Pursesnatching,Shoplifting,Theft_From_Building,Theft_From_Coinoperated_Machine,Theft_From_Motor_Vehicle,Theft_of_Motor_Vehicle_Parts_or_Accessories,All_Other_Larceny,Motor_Vehicle_Theft,Robbery,Stolen_Property_Offenses_,Drug__Narcotic_Offenses,Drug__Narcotic_Violations,Drug_Equipment_Violations,Gambling_Offenses,Betting__Wagering,Operating__Promoting__Assisting_Gambling,Gambling_Equipment_Violations,Sports_Tampering,Pornography__Obscene_Material,Prostitution_Offenses,Prostitution,Assisting_or_Promoting_Prostitution,Weapon_Law_Violations,Region
886,Kansas,Cities,Garden City,27017.0,2610.0,612.0,1576.0,422.0,549,96.0,403.0,50.0,1.0,,1.0,,22.0,34.0,11.0,4.0,,19.0,6.0,,6.0,13.0,,88.0,90.0,461.0,18.0,1.0,205.0,96.0,87.0,22.0,,,657.0,1.0,2.0,183.0,95.0,,119.0,79.0,178.0,24.0,9.0,10.0,372.0,222.0,150.0,8.0,,4.0,4.0,,2.0,1.0,,1.0,39.0,Midwest (West)
887,Kansas,Cities,Gardner,19532.0,1050.0,319.0,606.0,125.0,288,28.0,198.0,62.0,,,,,12.0,19.0,5.0,4.0,,10.0,,,,4.0,,68.0,12.0,166.0,2.0,,71.0,21.0,41.0,9.0,,,258.0,,,48.0,48.0,,35.0,24.0,103.0,17.0,2.0,6.0,110.0,61.0,49.0,,,,,,2.0,,,,13.0,Midwest (West)
888,Kansas,Cities,Garnett,3419.0,284.0,57.0,202.0,25.0,48,8.0,38.0,2.0,,,,,5.0,3.0,,1.0,,2.0,1.0,,1.0,2.0,,26.0,10.0,56.0,,,24.0,9.0,13.0,2.0,,,80.0,,,7.0,14.0,,8.0,12.0,39.0,4.0,,,24.0,13.0,11.0,,,,,,,,,,1.0,Midwest (West)
889,Kansas,Cities,Girard,2810.0,150.0,64.0,82.0,4.0,59,5.0,49.0,5.0,,,,,1.0,4.0,1.0,2.0,,1.0,,,,1.0,,9.0,2.0,18.0,,,8.0,6.0,1.0,1.0,,,43.0,,,7.0,18.0,,14.0,,4.0,1.0,,,4.0,2.0,2.0,,,,,,,,,,,Midwest (West)
890,Kansas,Cities,Goddard,4389.0,240.0,30.0,159.0,51.0,25,2.0,16.0,7.0,,,,,1.0,2.0,,1.0,,1.0,2.0,,2.0,1.0,,19.0,4.0,46.0,3.0,,11.0,2.0,5.0,4.0,,,72.0,1.0,,5.0,4.0,1.0,19.0,12.0,30.0,2.0,1.0,,49.0,24.0,25.0,,,,,,,,,,2.0,Midwest (West)
891,Kansas,Cities,Grandview Plaza,1611.0,187.0,77.0,85.0,25.0,72,6.0,64.0,2.0,,,,,3.0,2.0,1.0,,,1.0,,,,1.0,,7.0,2.0,31.0,,,9.0,2.0,5.0,2.0,,,29.0,,,2.0,11.0,,6.0,7.0,3.0,5.0,,1.0,23.0,11.0,12.0,,,,,,,,,,2.0,Midwest (West)
892,Kansas,Cities,Great Bend,16174.0,2072.0,639.0,1315.0,118.0,608,83.0,375.0,150.0,,,,,10.0,21.0,6.0,5.0,,10.0,,,,3.0,,143.0,51.0,367.0,10.0,,148.0,61.0,71.0,16.0,,,555.0,,,83.0,105.0,,74.0,60.0,233.0,32.0,6.0,,107.0,58.0,49.0,,,,,,1.0,1.0,1.0,,9.0,Midwest (West)
893,Kansas,Cities,Halstead,2106.0,74.0,10.0,60.0,4.0,9,3.0,4.0,2.0,,,,,1.0,,,,,,,,,1.0,,9.0,2.0,23.0,,,4.0,2.0,1.0,1.0,,,21.0,,,,5.0,,6.0,2.0,8.0,,,,4.0,2.0,2.0,,,,,,,,,,,Midwest (West)
894,Kansas,Cities,Haven,1247.0,49.0,10.0,35.0,4.0,9,,6.0,3.0,,,,,,1.0,1.0,,,,,,,,,4.0,,14.0,,,3.0,,2.0,1.0,,,11.0,,,1.0,3.0,,3.0,,4.0,3.0,,,3.0,2.0,1.0,,,,,,1.0,,,,,Midwest (West)
895,Kansas,Cities,Hays,20823.0,2044.0,376.0,1156.0,512.0,346,86.0,235.0,25.0,,,,,11.0,17.0,7.0,,,10.0,2.0,,2.0,3.0,,68.0,70.0,333.0,6.0,,103.0,32.0,58.0,13.0,,,524.0,,,103.0,50.0,,110.0,23.0,238.0,34.0,6.0,9.0,469.0,245.0,224.0,,,,,,2.0,,,,41.0,Midwest (West)
896,Kansas,Cities,Haysville,10939.0,1029.0,339.0,567.0,123.0,294,27.0,239.0,28.0,,,,,6.0,38.0,15.0,7.0,,16.0,1.0,,1.0,4.0,,58.0,6.0,168.0,1.0,1.0,93.0,12.0,77.0,4.0,,,213.0,,,10.0,39.0,2.0,48.0,24.0,90.0,14.0,2.0,7.0,110.0,57.0,53.0,,,,,,2.0,1.0,,1.0,10.0,Midwest (West)
897,Kansas,Cities,Herington,2538.0,118.0,40.0,74.0,4.0,35,3.0,28.0,4.0,,,,,,4.0,,,,4.0,1.0,,1.0,,,17.0,,20.0,,,3.0,1.0,2.0,,,,28.0,,,,8.0,,4.0,3.0,13.0,6.0,,,4.0,2.0,2.0,,,,,,,,,,,Midwest (West)
898,Kansas,Cities,Hesston,3744.0,139.0,15.0,111.0,13.0,15,3.0,7.0,5.0,,,,,,,,,,,,,,,,12.0,1.0,36.0,,,7.0,1.0,2.0,4.0,,,51.0,,,,7.0,1.0,13.0,5.0,25.0,2.0,1.0,1.0,11.0,6.0,5.0,,,,,,,,,,2.0,Midwest (West)
899,Kansas,Cities,Hiawatha,3197.0,220.0,67.0,138.0,15.0,66,1.0,53.0,12.0,,,,,1.0,,,,,,,,,,,8.0,4.0,25.0,1.0,,11.0,2.0,8.0,1.0,,,86.0,,1.0,17.0,25.0,,12.0,3.0,28.0,3.0,,,13.0,9.0,4.0,,,,,,,,,,2.0,Midwest (West)
900,Kansas,Cities,Hoisington,2737.0,181.0,43.0,110.0,28.0,37,5.0,27.0,5.0,,,,,1.0,5.0,,1.0,,4.0,,,,1.0,,20.0,3.0,33.0,,,10.0,5.0,1.0,4.0,,,38.0,,,3.0,8.0,,7.0,2.0,18.0,4.0,,1.0,26.0,13.0,13.0,,,,,,,,,,2.0,Midwest (West)
901,Kansas,Cities,Holcomb,2123.0,83.0,18.0,64.0,1.0,18,,15.0,3.0,,,,,,,,,,,,,,,,9.0,1.0,16.0,,,4.0,,4.0,,,,33.0,,,,9.0,,14.0,,10.0,,,1.0,1.0,,1.0,,,,,,,,,,,Midwest (West)
902,Kansas,Cities,Holton,3339.0,266.0,45.0,158.0,63.0,43,5.0,32.0,6.0,,,,,1.0,1.0,,,,1.0,,,,,,17.0,4.0,34.0,1.0,,12.0,6.0,1.0,5.0,,,81.0,,,7.0,12.0,1.0,22.0,11.0,28.0,4.0,,5.0,59.0,30.0,29.0,,,,,,,,,,4.0,Midwest (West)
903,Kansas,Cities,Horton,1789.0,171.0,69.0,73.0,29.0,65,4.0,57.0,4.0,,,,,1.0,3.0,2.0,1.0,,,,,,,,15.0,2.0,24.0,,,3.0,2.0,,1.0,,,27.0,,1.0,5.0,7.0,,3.0,2.0,9.0,2.0,,,29.0,15.0,14.0,,,,,,,,,,,Midwest (West)
904,Kansas,Cities,Hugoton,3849.0,47.0,18.0,21.0,8.0,18,2.0,15.0,1.0,,,,,,,,,,,,,,,,1.0,,8.0,,,,,,,,,11.0,,,2.0,2.0,,,1.0,6.0,1.0,,,8.0,4.0,4.0,,,,,,,,,,,Midwest (West)
905,Kansas,Cities,Hutchinson,42357.0,7059.0,1704.0,4921.0,434.0,1602,211.0,967.0,424.0,1.0,1.0,,,33.0,64.0,26.0,8.0,,30.0,4.0,,4.0,21.0,,499.0,228.0,1344.0,32.0,,721.0,313.0,347.0,51.0,10.0,,1898.0,,,458.0,457.0,,328.0,203.0,452.0,131.0,25.0,22.0,385.0,199.0,186.0,,,,,,8.0,2.0,1.0,1.0,39.0,Midwest (West)
906,Kansas,Cities,Inman,1387.0,55.0,17.0,32.0,6.0,16,1.0,8.0,7.0,,,,,1.0,,,,,,,,,,,4.0,,9.0,1.0,,6.0,2.0,3.0,1.0,,,12.0,,,2.0,2.0,,1.0,1.0,6.0,,,,6.0,3.0,3.0,,,,,,,,,,,Midwest (West)
907,Kansas,Cities,Iola,5716.0,806.0,171.0,531.0,104.0,159,22.0,96.0,41.0,,,,,2.0,10.0,5.0,,,5.0,,,,1.0,,44.0,30.0,132.0,2.0,,60.0,32.0,14.0,14.0,,,253.0,,,32.0,19.0,,61.0,2.0,139.0,5.0,1.0,3.0,94.0,51.0,43.0,2.0,,1.0,1.0,,,,,,8.0,Midwest (West)
908,Kansas,Cities,Junction City,24138.0,2336.0,828.0,1244.0,264.0,771,140.0,539.0,92.0,1.0,1.0,,,31.0,25.0,9.0,2.0,,14.0,,,,5.0,,155.0,41.0,443.0,1.0,,109.0,46.0,55.0,8.0,,,450.0,1.0,,138.0,84.0,3.0,76.0,49.0,99.0,25.0,13.0,2.0,235.0,133.0,102.0,,,,,,3.0,1.0,1.0,,25.0,Midwest (West)
909,Kansas,Cities,Kingman,3192.0,206.0,56.0,114.0,36.0,55,10.0,42.0,3.0,,,,,1.0,,,,,,,,,,,16.0,12.0,44.0,,,7.0,3.0,1.0,3.0,,,32.0,,,,10.0,,5.0,1.0,16.0,3.0,,,32.0,16.0,16.0,3.0,1.0,1.0,1.0,,,,,,1.0,Midwest (West)
910,Kansas,Cities,Kiowa,1036.0,24.0,8.0,14.0,2.0,7,,7.0,,,,,,,1.0,1.0,,,,,,,1.0,,2.0,,6.0,,,,,,,,,3.0,,,,,,2.0,1.0,,2.0,,,2.0,,2.0,,,,,,,,,,,Midwest (West)
911,Kansas,Cities,La Cygne,1150.0,30.0,16.0,10.0,4.0,15,2.0,10.0,3.0,,,,,,1.0,,,,1.0,,,,,,1.0,,6.0,,,1.0,1.0,,,,,1.0,,,,,,,,1.0,1.0,,,3.0,2.0,1.0,,,,,,,,,,1.0,Midwest (West)
912,Kansas,Cities,Lansing,11443.0,297.0,129.0,141.0,27.0,115,17.0,71.0,27.0,,,,,2.0,12.0,2.0,,,10.0,,,,1.0,,29.0,2.0,48.0,1.0,,15.0,5.0,9.0,1.0,,,38.0,,,,7.0,,24.0,2.0,5.0,3.0,2.0,2.0,25.0,13.0,12.0,,,,,,1.0,,,,1.0,Midwest (West)
913,Kansas,Cities,Larned,4101.0,396.0,140.0,235.0,21.0,125,17.0,75.0,33.0,,,,,5.0,9.0,5.0,1.0,,3.0,1.0,,1.0,1.0,,30.0,8.0,82.0,1.0,,29.0,12.0,17.0,,,,79.0,,,9.0,19.0,,21.0,4.0,26.0,4.0,,1.0,16.0,9.0,7.0,,,,,,1.0,,,,4.0,Midwest (West)
914,Kansas,Cities,Lawrence,89180.0,10733.0,2657.0,7351.0,725.0,2427,267.0,1739.0,421.0,,,,,108.0,116.0,55.0,11.0,,50.0,6.0,1.0,5.0,26.0,,602.0,402.0,1817.0,24.0,1.0,982.0,332.0,567.0,62.0,21.0,,3199.0,20.0,17.0,459.0,484.0,11.0,859.0,85.0,1264.0,206.0,53.0,39.0,644.0,361.0,283.0,,,,,,2.0,8.0,4.0,4.0,71.0,Midwest (West)
915,Kansas,Cities,Leavenworth,35857.0,3776.0,1156.0,2144.0,476.0,1084,203.0,719.0,162.0,,,,,31.0,40.0,15.0,6.0,,19.0,1.0,,1.0,9.0,,243.0,30.0,641.0,25.0,1.0,207.0,61.0,116.0,27.0,3.0,,854.0,1.0,1.0,175.0,232.0,1.0,164.0,79.0,201.0,79.0,30.0,25.0,428.0,236.0,192.0,,,,,,4.0,,,,44.0,Midwest (West)
916,Kansas,Cities,Leawood,32554.0,1113.0,131.0,734.0,248.0,116,9.0,76.0,31.0,1.0,1.0,,,5.0,9.0,4.0,1.0,,4.0,,,,,,82.0,26.0,153.0,4.0,,72.0,20.0,11.0,41.0,,,371.0,1.0,3.0,123.0,95.0,1.0,103.0,14.0,31.0,12.0,5.0,9.0,234.0,115.0,119.0,,,,,,,3.0,1.0,2.0,11.0,Midwest (West)
917,Kansas,Cities,Lebo,937.0,1.0,1.0,0.0,0.0,1,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Midwest (West)
918,Kansas,Cities,Lenexa,49222.0,2687.0,496.0,1513.0,678.0,456,44.0,321.0,91.0,2.0,1.0,1.0,,9.0,29.0,9.0,4.0,,16.0,,,,14.0,,94.0,43.0,408.0,8.0,,58.0,20.0,16.0,22.0,,,758.0,,6.0,101.0,207.0,3.0,170.0,137.0,134.0,99.0,5.0,26.0,637.0,348.0,289.0,,,,,,1.0,12.0,10.0,2.0,28.0,Midwest (West)
919,Kansas,Cities,Liberal,20968.0,1737.0,330.0,1197.0,210.0,289,52.0,221.0,16.0,,,,,22.0,18.0,8.0,5.0,,5.0,1.0,,1.0,,,151.0,44.0,453.0,6.0,,112.0,34.0,53.0,25.0,,,405.0,,,78.0,50.0,1.0,82.0,57.0,137.0,18.0,7.0,1.0,194.0,101.0,93.0,,,,,,2.0,,,,14.0,Midwest (West)
920,Kansas,Cities,Lindsborg,3483.0,143.0,23.0,104.0,16.0,19,2.0,11.0,6.0,,,,,1.0,3.0,1.0,,,2.0,,,,1.0,,13.0,1.0,35.0,,,10.0,2.0,8.0,,,,43.0,,,,8.0,,4.0,,31.0,,1.0,,16.0,10.0,6.0,,,,,,,,,,,Midwest (West)
921,Kansas,Cities,Louisburg,4327.0,107.0,18.0,70.0,19.0,17,,12.0,5.0,,,,,,,,,,,1.0,,1.0,,,9.0,,12.0,,,8.0,,8.0,,,,38.0,,,4.0,1.0,,14.0,2.0,17.0,1.0,,2.0,17.0,8.0,9.0,,,,,,,,,,2.0,Midwest (West)
922,Kansas,Cities,Maize,3455.0,222.0,65.0,135.0,22.0,65,13.0,29.0,23.0,,,,,,,,,,,,,,,,10.0,6.0,47.0,,,13.0,4.0,3.0,6.0,,,58.0,,,4.0,5.0,,16.0,4.0,29.0,1.0,,,21.0,10.0,11.0,,,,,,,,,,1.0,Midwest (West)
923,Kansas,Cities,Marion,1918.0,84.0,28.0,48.0,8.0,27,3.0,17.0,7.0,,,,,1.0,,,,,,,,,,,10.0,,26.0,,,1.0,,1.0,,,,11.0,,,,2.0,,5.0,,4.0,,,,8.0,4.0,4.0,,,,,,,,,,,Midwest (West)
924,Kansas,Cities,Marysville,3278.0,210.0,47.0,147.0,16.0,45,8.0,21.0,16.0,,,,,,2.0,1.0,,,1.0,,,,,,14.0,5.0,47.0,1.0,,18.0,9.0,6.0,3.0,,,58.0,,,12.0,14.0,1.0,6.0,3.0,22.0,3.0,,1.0,15.0,10.0,5.0,,,,,,,,,,1.0,Midwest (West)
925,Kansas,Cities,McPherson,13249.0,1304.0,425.0,764.0,115.0,400,25.0,278.0,97.0,1.0,1.0,,,12.0,12.0,5.0,1.0,,6.0,,,,2.0,,119.0,14.0,253.0,,,39.0,10.0,17.0,12.0,,,316.0,3.0,3.0,41.0,67.0,,72.0,10.0,120.0,18.0,1.0,2.0,102.0,56.0,46.0,,,,,,7.0,,,,6.0,Midwest (West)
926,Kansas,Cities,Merriam,11237.0,1278.0,268.0,876.0,134.0,238,33.0,161.0,44.0,2.0,2.0,,,7.0,21.0,8.0,1.0,,12.0,,,,,,59.0,11.0,223.0,1.0,1.0,57.0,13.0,25.0,19.0,,,428.0,,1.0,44.0,62.0,2.0,172.0,27.0,120.0,79.0,12.0,5.0,92.0,58.0,34.0,,,,,,1.0,33.0,12.0,21.0,8.0,Midwest (West)
927,Kansas,Cities,Minneapolis,2052.0,95.0,21.0,60.0,14.0,16,,12.0,4.0,,,,,1.0,4.0,1.0,,,3.0,,,,,,6.0,,19.0,,,2.0,1.0,,1.0,,,29.0,,,2.0,4.0,,6.0,3.0,14.0,3.0,1.0,,12.0,6.0,6.0,,,,,,,,,,2.0,Midwest (West)
928,Kansas,Cities,Mission Hills,3572.0,68.0,4.0,44.0,20.0,4,,4.0,,,,,,,,,,,,,,,,,6.0,,16.0,,,2.0,,,2.0,,,18.0,,,,,,14.0,,4.0,1.0,1.0,,20.0,9.0,11.0,,,,,,,,,,,Midwest (West)
929,Kansas,Cities,Moran,560.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Midwest (West)
930,Kansas,Cities,Mulvane,6158.0,352.0,55.0,223.0,74.0,53,6.0,38.0,9.0,,,,,,1.0,,,,1.0,1.0,,1.0,,,18.0,8.0,37.0,,,53.0,13.0,31.0,9.0,,,96.0,,,1.0,35.0,,13.0,5.0,42.0,9.0,2.0,,69.0,40.0,29.0,,,,,,2.0,,,,3.0,Midwest (West)
931,Kansas,Cities,Neodesha,2470.0,163.0,34.0,95.0,34.0,33,5.0,24.0,4.0,,,,,,1.0,1.0,,,,,,,1.0,,11.0,2.0,22.0,,,8.0,3.0,4.0,1.0,,,49.0,,,3.0,8.0,,5.0,4.0,29.0,1.0,,1.0,31.0,15.0,16.0,,,,,,,,,,3.0,Midwest (West)
932,Kansas,Cities,Newton,19328.0,2211.0,546.0,1283.0,382.0,489,99.0,308.0,82.0,,,,,22.0,35.0,7.0,6.0,,22.0,,,,2.0,,136.0,77.0,336.0,7.0,,180.0,83.0,76.0,21.0,,,505.0,2.0,,105.0,87.0,4.0,73.0,41.0,193.0,28.0,4.0,8.0,361.0,188.0,173.0,,,,,,3.0,,,,18.0,Midwest (West)
933,Kansas,Cities,North Newton,1774.0,35.0,2.0,29.0,4.0,1,,1.0,,,,,,,1.0,,,,1.0,,,,,,4.0,,6.0,1.0,,5.0,,5.0,,,,13.0,,,,10.0,1.0,,,2.0,,,,4.0,2.0,2.0,,,,,,,,,,,Midwest (West)
934,Kansas,Cities,Norton,2923.0,149.0,41.0,103.0,5.0,35,2.0,30.0,3.0,,,,,1.0,4.0,2.0,1.0,,1.0,1.0,,1.0,,,11.0,3.0,29.0,2.0,,9.0,4.0,3.0,2.0,,,46.0,2.0,,2.0,18.0,1.0,8.0,3.0,12.0,3.0,,,5.0,2.0,3.0,,,,,,,,,,,Midwest (West)
935,Kansas,Cities,Onaga,717.0,8.0,4.0,4.0,0.0,4,,4.0,,,,,,,,,,,,,,,,,1.0,,2.0,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,Midwest (West)
936,Kansas,Cities,Osage City,2960.0,209.0,64.0,133.0,12.0,60,11.0,37.0,12.0,,,,,4.0,,,,,,,,,2.0,,19.0,1.0,31.0,1.0,,3.0,2.0,,1.0,,,73.0,,,5.0,14.0,,19.0,3.0,32.0,3.0,,,11.0,6.0,5.0,,,,,,,,,,1.0,Midwest (West)
937,Kansas,Cities,Osawatomie,4460.0,278.0,80.0,169.0,29.0,67,16.0,43.0,8.0,,,,,2.0,11.0,8.0,1.0,,2.0,,,,,,13.0,1.0,36.0,,,6.0,1.0,5.0,,,,105.0,,,21.0,15.0,,17.0,7.0,45.0,8.0,,,28.0,14.0,14.0,,,,,,,,,,1.0,Midwest (West)
938,Kansas,Cities,Oswego,1830.0,81.0,14.0,47.0,20.0,14,1.0,11.0,2.0,,,,,,,,,,,,,,,,10.0,1.0,12.0,,,3.0,2.0,1.0,,,,16.0,,,1.0,4.0,,3.0,2.0,6.0,5.0,,,19.0,10.0,9.0,,,,,,,,,,1.0,Midwest (West)
939,Kansas,Cities,Ottawa,12684.0,929.0,217.0,580.0,132.0,190,26.0,143.0,21.0,,,,,9.0,16.0,9.0,1.0,,6.0,2.0,,2.0,5.0,,55.0,38.0,136.0,1.0,,87.0,46.0,25.0,16.0,,,245.0,,,56.0,31.0,,49.0,22.0,87.0,8.0,2.0,3.0,128.0,62.0,66.0,,,,,,1.0,,,,3.0,Midwest (West)
940,Kansas,Cities,Paola,5619.0,626.0,120.0,405.0,101.0,111,10.0,93.0,8.0,,,,,1.0,7.0,3.0,4.0,,,1.0,,1.0,2.0,,31.0,24.0,92.0,5.0,,45.0,28.0,11.0,6.0,,,197.0,,,60.0,35.0,5.0,26.0,11.0,60.0,7.0,,2.0,96.0,49.0,47.0,,,,,,,,,,5.0,Midwest (West)
941,Kansas,Cities,Park City,7373.0,631.0,138.0,374.0,119.0,126,8.0,96.0,22.0,,,,,2.0,10.0,1.0,,,9.0,,,,1.0,,26.0,16.0,131.0,4.0,,29.0,12.0,3.0,14.0,,,143.0,1.0,,5.0,11.0,,33.0,10.0,83.0,15.0,4.0,5.0,108.0,59.0,49.0,,,,,,1.0,,,,10.0,Midwest (West)
942,Kansas,Cities,Parsons,10507.0,1847.0,503.0,1166.0,178.0,474,52.0,368.0,54.0,,,,,14.0,14.0,6.0,3.0,,5.0,1.0,,1.0,4.0,,104.0,89.0,289.0,2.0,,311.0,91.0,212.0,6.0,2.0,,345.0,,,41.0,58.0,2.0,73.0,19.0,152.0,11.0,4.0,7.0,159.0,85.0,74.0,,,,,,,,,,19.0,Midwest (West)
943,Kansas,Cities,Prairie Village,21906.0,709.0,100.0,397.0,212.0,88,7.0,67.0,14.0,,,,,3.0,9.0,3.0,2.0,,4.0,,,,2.0,,50.0,10.0,107.0,,,28.0,10.0,4.0,14.0,,,180.0,,1.0,13.0,30.0,,86.0,4.0,46.0,14.0,3.0,3.0,180.0,104.0,76.0,,,,,,,28.0,11.0,17.0,4.0,Midwest (West)
944,Kansas,Cities,Pratt,6885.0,692.0,200.0,386.0,106.0,177,22.0,124.0,31.0,,,,,12.0,11.0,2.0,2.0,,7.0,,,,1.0,,43.0,19.0,122.0,,,27.0,19.0,5.0,3.0,,,157.0,3.0,2.0,29.0,44.0,,31.0,1.0,47.0,15.0,1.0,1.0,106.0,55.0,51.0,,,,,,,,,,,Midwest (West)
945,Kansas,Cities,Rose Hill,3948.0,151.0,32.0,102.0,17.0,28,3.0,18.0,7.0,,,,,1.0,2.0,1.0,,,1.0,1.0,,1.0,1.0,,3.0,1.0,26.0,,,11.0,5.0,2.0,4.0,,,58.0,,,1.0,13.0,,17.0,3.0,24.0,1.0,,1.0,17.0,10.0,7.0,,,,,,,,,,,Midwest (West)
946,Kansas,Cities,Rossville,1163.0,45.0,10.0,11.0,24.0,10,4.0,6.0,,,,,,,,,,,,,,,,,1.0,,4.0,1.0,,,,,,,,2.0,,,,,,,1.0,1.0,3.0,,,24.0,12.0,12.0,,,,,,,,,,,Midwest (West)
947,Kansas,Cities,Russell,4520.0,337.0,100.0,192.0,45.0,83,17.0,54.0,12.0,,,,,7.0,10.0,1.0,1.0,,8.0,,,,1.0,,28.0,8.0,58.0,12.0,,24.0,11.0,11.0,2.0,,,52.0,,,7.0,14.0,,12.0,2.0,17.0,9.0,,,42.0,21.0,21.0,,,,,,1.0,,,,2.0,Midwest (West)
948,Kansas,Cities,Sabetha,2568.0,98.0,30.0,58.0,10.0,27,4.0,14.0,9.0,,,,,1.0,1.0,1.0,,,,1.0,,1.0,,,10.0,2.0,21.0,,,4.0,3.0,,1.0,,,17.0,,,1.0,5.0,,5.0,1.0,5.0,4.0,,,9.0,5.0,4.0,,,,,,,,,,1.0,Midwest (West)
949,Kansas,Cities,Salina,48155.0,6665.0,1584.0,4361.0,720.0,1445,118.0,1118.0,209.0,1.0,1.0,,,38.0,90.0,20.0,21.0,,49.0,10.0,,10.0,23.0,,450.0,164.0,1294.0,25.0,,447.0,190.0,229.0,28.0,,,1805.0,3.0,1.0,375.0,309.0,3.0,355.0,178.0,581.0,106.0,23.0,24.0,674.0,344.0,330.0,,,,,,5.0,,,,41.0,Midwest (West)
950,Kansas,Cities,Scott City,3815.0,185.0,58.0,106.0,21.0,52,10.0,30.0,12.0,,,,,3.0,3.0,2.0,1.0,,,,,,,,10.0,15.0,20.0,1.0,,20.0,15.0,4.0,1.0,,,36.0,,,11.0,4.0,,4.0,5.0,12.0,3.0,,1.0,18.0,10.0,8.0,,,,,,2.0,,,,1.0,Midwest (West)
951,Kansas,Cities,Sedgwick,1712.0,26.0,8.0,18.0,0.0,7,,7.0,,,,,,,1.0,1.0,,,,,,,,,3.0,,10.0,,,,,,,,,4.0,,,,,,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,Midwest (West)
952,Kansas,Cities,Shawnee,63542.0,2889.0,542.0,1947.0,400.0,507,62.0,355.0,90.0,,,,,13.0,22.0,11.0,1.0,,10.0,,,,11.0,,150.0,64.0,495.0,6.0,3.0,272.0,32.0,98.0,142.0,,,774.0,1.0,2.0,128.0,94.0,4.0,244.0,51.0,250.0,139.0,12.0,21.0,385.0,232.0,153.0,,,,,,2.0,,,,13.0,Midwest (West)
953,Kansas,Cities,South Hutchinson,2474.0,226.0,45.0,156.0,25.0,44,5.0,25.0,14.0,1.0,1.0,,,,,,,,,,,,,,20.0,4.0,36.0,6.0,,15.0,9.0,2.0,4.0,,,73.0,,,8.0,15.0,1.0,8.0,9.0,32.0,2.0,,,24.0,11.0,13.0,,,,,,,,,,1.0,Midwest (West)
954,Kansas,Cities,Spring Hill,5511.0,340.0,73.0,224.0,43.0,67,9.0,47.0,11.0,,,,,3.0,3.0,,,,3.0,,,,1.0,,18.0,27.0,68.0,,,47.0,27.0,15.0,5.0,,,57.0,,,5.0,12.0,,7.0,7.0,26.0,3.0,1.0,2.0,36.0,20.0,16.0,,,,,,2.0,,,,5.0,Midwest (West)
955,Kansas,Cities,Stafford,1032.0,40.0,8.0,29.0,3.0,6,2.0,3.0,1.0,,,,,,2.0,1.0,1.0,,,,,,,,3.0,6.0,7.0,,,7.0,6.0,,1.0,,,6.0,,,,1.0,,1.0,1.0,3.0,,,,2.0,1.0,1.0,,,,,,,,,,1.0,Midwest (West)
956,Kansas,Cities,Sterling,2338.0,76.0,20.0,53.0,3.0,19,2.0,13.0,4.0,,,,,,1.0,,,,1.0,,,,1.0,,10.0,1.0,19.0,,,5.0,5.0,,,,,17.0,,,1.0,1.0,,1.0,1.0,13.0,,,,3.0,1.0,2.0,,,,,,,,,,,Midwest (West)
957,Kansas,Cities,St. Marys,2678.0,92.0,19.0,67.0,6.0,17,4.0,7.0,6.0,,,,,,2.0,,1.0,,1.0,,,,1.0,,16.0,2.0,30.0,,,3.0,2.0,1.0,,,,14.0,,,2.0,3.0,,4.0,2.0,3.0,1.0,,,5.0,2.0,3.0,,,,,,,,,,1.0,Midwest (West)
958,Kansas,Cities,Tonganoxie,5091.0,307.0,93.0,160.0,54.0,81,9.0,46.0,26.0,,,,,3.0,7.0,2.0,3.0,,2.0,2.0,,2.0,,,19.0,9.0,53.0,,1.0,13.0,11.0,1.0,1.0,,,57.0,,,2.0,13.0,1.0,11.0,14.0,16.0,6.0,,2.0,53.0,27.0,26.0,,,,,,,,,,1.0,Midwest (West)
959,Kansas,Cities,Udall,749.0,40.0,4.0,15.0,21.0,4,1.0,2.0,1.0,,,,,,,,,,,,,,,,3.0,,6.0,1.0,,1.0,,,1.0,,,3.0,,,,,,1.0,,2.0,1.0,,,20.0,10.0,10.0,,,,,,,,,,1.0,Midwest (West)
