,State,Agency_Type,Agency_Name,Population,Total_Offenses,Crimes_Against_Persons,Crimes_Against_Property,Crimes_Against_Society,Crimes_Against_Persons,Aggravated_Assault,Simple_Assault,Intimidation,Homicide_Offenses,Murder_and_Nonnegligent_Manslaughter,Negligent_Manslaughter,Justifiable_Homicide,Human_Trafficking_Offenses,Commercial_Sex_Acts,Involuntary_Servitude,Kidnapping__Abduction,Sex_Offenses,Rape,Sodomy,Sexual_Assault_With_An_Object,Fondling,"Sex_Offenses,_Nonforcible",Incest,Statutory_Rape,Arson,Bribery,Burglary__Breaking_&_Entering,Counterfeiting__Forgery,Destruction__Damage__Vandalism_of_Property,Embezzlement,Extortion__Blackmail,Fraud_Offenses,False_Pretenses__Swindle__Confidence_Game,Credit_Card__Automated_Teller_Machine_Fraud,Impersonation,Welfare_Fraud,Wire_Fraud,Larceny__Theft_Offenses,Pocketpicking,Pursesnatching,Shoplifting,Theft_From_Building,Theft_From_Coin_Operated_Machine_or_Device,Theft_From_Motor_Vehicle,Theft_of__Motor__Vehicle_Parts_or_Accessories,All_Other_Larceny,Motor_Vehicle_Theft,Robbery,Stolen_Property_Offenses,Drug__Narcotic_Offenses,Drug__Narcotic_Violations,Drug_Equipment_Violations,Gambling_Offenses,Betting__Wagering,Operating__Promoting__Assisting_Gambling,Gambling_Equipment_Violations,Sports_Tampering,Pornography__Obscene_Material,Prostitution_Offenses,Prostitution,Assisting_or_Promoting_Prostitution,Purchasing_Prostitution,Weapon_Law_Violations,Region
10,Arkansas,Cities,Barling,4733.0,441.0,62.0,169.0,210.0,60,18.0,34.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,17.0,2.0,45.0,0.0,0.0,11.0,0.0,9.0,2.0,0.0,0.0,83.0,0.0,0.0,3.0,27.0,0.0,11.0,1.0,41.0,8.0,0.0,2.0,207.0,106.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,South Central (West)
11,Arkansas,Cities,Bay,1825.0,76.0,14.0,52.0,10.0,12,0.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,4.0,3.0,0.0,2.0,0.0,17.0,0.0,0.0,7.0,10.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,South Central (West)
12,Arkansas,Cities,Bearden,930.0,84.0,25.0,56.0,3.0,24,4.0,13.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,7.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,22.0,2.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,South Central (West)
13,Arkansas,Cities,Beebe,7744.0,723.0,119.0,519.0,85.0,114,13.0,73.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,104.0,30.0,71.0,0.0,0.0,22.0,1.0,19.0,2.0,0.0,0.0,259.0,1.0,4.0,22.0,35.0,1.0,44.0,5.0,147.0,20.0,3.0,10.0,82.0,51.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,South Central (West)
14,Arkansas,Cities,Bella Vista,27606.0,535.0,107.0,303.0,125.0,94,17.0,42.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,3.0,2.0,3.0,4.0,0.0,0.0,0.0,1.0,0.0,55.0,15.0,65.0,0.0,0.0,34.0,7.0,26.0,1.0,0.0,0.0,121.0,0.0,0.0,2.0,45.0,2.0,19.0,3.0,50.0,7.0,1.0,4.0,121.0,67.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,South Central (West)
15,Arkansas,Cities,Benton,32548.0,2557.0,478.0,1854.0,225.0,457,77.0,226.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,16.0,10.0,2.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,238.0,111.0,287.0,0.0,0.0,74.0,4.0,66.0,3.0,0.0,1.0,1016.0,2.0,3.0,133.0,63.0,3.0,193.0,57.0,562.0,83.0,18.0,23.0,207.0,139.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,South Central (West)
16,Arkansas,Cities,Bentonville,39132.0,1796.0,296.0,1088.0,412.0,255,47.0,95.0,113.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,33.0,7.0,3.0,2.0,21.0,0.0,0.0,0.0,2.0,0.0,119.0,41.0,166.0,3.0,0.0,88.0,26.0,32.0,30.0,0.0,0.0,622.0,0.0,1.0,56.0,0.0,2.0,170.0,11.0,382.0,11.0,2.0,34.0,398.0,196.0,202.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,13.0,South Central (West)
17,Arkansas,Cities,Berryville,5417.0,466.0,72.0,358.0,36.0,69,5.0,55.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,10.0,28.0,0.0,0.0,9.0,3.0,5.0,1.0,0.0,0.0,234.0,0.0,0.0,26.0,1.0,0.0,2.0,0.0,205.0,7.0,0.0,0.0,31.0,17.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,South Central (West)
18,Arkansas,Cities,Blytheville,15220.0,2612.0,717.0,1815.0,80.0,692,167.0,338.0,187.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,20.0,9.0,0.0,3.0,8.0,0.0,0.0,0.0,6.0,0.0,512.0,55.0,364.0,0.0,0.0,78.0,10.0,66.0,2.0,0.0,0.0,696.0,0.0,2.0,96.0,6.0,4.0,84.0,6.0,498.0,51.0,53.0,0.0,49.0,46.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,30.0,South Central (West)
19,Arkansas,Cities,Booneville,3922.0,353.0,79.0,232.0,42.0,76,2.0,63.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,38.0,8.0,33.0,0.0,0.0,13.0,2.0,5.0,6.0,0.0,0.0,132.0,0.0,1.0,25.0,15.0,0.0,7.0,0.0,84.0,3.0,0.0,5.0,33.0,18.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,South Central (West)
20,Arkansas,Cities,Bradford,768.0,89.0,25.0,52.0,12.0,24,3.0,15.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,2.0,14.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,23.0,0.0,1.0,6.0,4.0,0.0,2.0,0.0,10.0,1.0,0.0,0.0,10.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,South Central (West)
21,Arkansas,Cities,Brinkley,3024.0,170.0,29.0,139.0,2.0,27,7.0,13.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,29.0,4.0,36.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,58.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,54.0,3.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,South Central (West)
22,Arkansas,Cities,Brookland,1863.0,80.0,16.0,50.0,14.0,16,2.0,9.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14.0,0.0,7.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,7.0,0.0,5.0,0.0,8.0,5.0,0.0,0.0,14.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,South Central (West)
23,Arkansas,Cities,Bryant,19366.0,1636.0,188.0,1341.0,107.0,180,0.0,114.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,197.0,62.0,131.0,0.0,0.0,90.0,40.0,49.0,0.0,0.0,1.0,749.0,0.0,0.0,256.0,0.0,0.0,3.0,0.0,490.0,34.0,7.0,71.0,99.0,78.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,South Central (West)
