,State,Agency_Type,Agency_Name,Population,Total_Offenses,Crimes_Against_Persons,Crimes_Against_Property,Crimes_Against_Society,Crimes_Against_Persons,Aggravated_Assault,Simple_Assault,Intimidation,Homicide_Offenses,Murder_and_Nonnegligent_Manslaughter,Negligent_Manslaughter,Justifiable_Homicide,Human_Trafficking_Offenses,Commercial_Sex_Acts,Involuntary_Servitude,Kidnapping__Abduction,Sex_Offenses,Rape,Sodomy,Sexual_Assault_With_an_Object,Fondling,"Sex_Offenses,_Nonforcible",Incest,Statutory_Rape,Arson,Bribery,Burglary__Breaking_&_Entering,Counterfeiting__Forgery,Destruction__Damage__Vandalism_of_Property,Embezzlement,Extortion__Blackmail,Fraud_Offenses,False_Pretenses__Swindle__Confidence_Game,Credit_Card__Automated_Teller_Machine_Fraud,Impersonation,Welfare_Fraud,Wire_Fraud,Larceny__Theft_Offenses,Pocketpicking,Pursesnatching,Shoplifting,Theft_From_Building,Theft_From_Coin_Operated_Machine_or_Device,Theft_From_Motor_Vehicle,Theft_of__Motor__Vehicle_Parts_or_Accessories,All_Other_Larceny,Motor_Vehicle_Theft,Robbery,Stolen_Property_Offenses,Drug__Narcotic_Offenses,Drug__Narcotic_Violations,Drug_Equipment_Violations,Gambling_Offenses,Betting__Wagering,Operating__Promoting__Assisting_Gambling,Gambling_Equipment_Violations,Sports_Tampering,Pornography__Obscene_Material,Prostitution_Offenses,Prostitution,Assisting_or_Promoting_Prostitution,Purchasing_Prostitution,Weapon_Law_Violations,Region
10,Arkansas,Cities,Atkins,3049.0,173.0,33.0,135.0,5.0,31,0.0,17.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,2.0,26.0,0.0,0.0,5.0,0.0,4.0,1.0,0.0,0.0,73.0,0.0,1.0,6.0,7.0,0.0,11.0,0.0,48.0,9.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,South Central (West)
11,Arkansas,Cities,Austin,2992.0,140.0,21.0,65.0,54.0,21,6.0,12.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,13.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,29.0,0.0,0.0,7.0,2.0,0.0,2.0,0.0,18.0,2.0,1.0,1.0,52.0,27.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,South Central (West)
12,Arkansas,Cities,Bald Knob,2906.0,250.0,60.0,168.0,22.0,58,7.0,22.0,29.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,8.0,32.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,101.0,0.0,1.0,6.0,11.0,1.0,12.0,1.0,69.0,2.0,1.0,1.0,18.0,16.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,South Central (West)
13,Arkansas,Cities,Barling,4762.0,521.0,125.0,161.0,235.0,120,34.0,66.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,46.0,0.0,0.0,6.0,1.0,5.0,0.0,0.0,0.0,89.0,0.0,0.0,5.0,19.0,0.0,12.0,4.0,49.0,4.0,0.0,5.0,216.0,109.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,South Central (West)
14,Arkansas,Cities,Bay,1811.0,56.0,4.0,42.0,10.0,4,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,13.0,1.0,0.0,2.0,9.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,South Central (West)
15,Arkansas,Cities,Bearden,910.0,22.0,4.0,18.0,0.0,4,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,South Central (West)
16,Arkansas,Cities,Beebe,8045.0,801.0,143.0,522.0,136.0,135,22.0,91.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,49.0,17.0,70.0,1.0,0.0,28.0,3.0,20.0,5.0,0.0,0.0,331.0,0.0,0.0,32.0,57.0,0.0,35.0,4.0,203.0,15.0,1.0,9.0,130.0,72.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,South Central (West)
17,Arkansas,Cities,Bella Vista,27913.0,520.0,119.0,290.0,111.0,101,27.0,46.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,13.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,31.0,7.0,59.0,0.0,0.0,27.0,10.0,16.0,0.0,1.0,0.0,156.0,0.0,1.0,5.0,38.0,0.0,31.0,3.0,78.0,4.0,0.0,5.0,100.0,59.0,41.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,South Central (West)
18,Arkansas,Cities,Benton,33758.0,2760.0,544.0,1940.0,276.0,511,84.0,248.0,179.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,26.0,19.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,202.0,147.0,331.0,0.0,0.0,84.0,9.0,72.0,1.0,0.0,2.0,1042.0,1.0,1.0,167.0,76.0,6.0,242.0,40.0,509.0,84.0,23.0,27.0,255.0,145.0,110.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,0.0,0.0,16.0,South Central (West)
19,Arkansas,Cities,Berryville,5488.0,436.0,112.0,302.0,22.0,102,12.0,68.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,49.0,10.0,18.0,0.0,0.0,11.0,2.0,6.0,3.0,0.0,0.0,203.0,0.0,0.0,21.0,1.0,0.0,0.0,0.0,181.0,8.0,1.0,1.0,21.0,11.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,South Central (West)
20,Arkansas,Cities,Blytheville,15009.0,2529.0,675.0,1806.0,48.0,654,178.0,267.0,209.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,12.0,1.0,0.0,3.0,3.0,0.0,3.0,0.0,0.0,507.0,35.0,367.0,0.0,0.0,94.0,15.0,78.0,1.0,0.0,0.0,697.0,0.0,0.0,137.0,15.0,2.0,61.0,9.0,473.0,38.0,67.0,1.0,28.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,South Central (West)
21,Arkansas,Cities,Bono,2157.0,94.0,23.0,44.0,27.0,22,3.0,10.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,8.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,22.0,0.0,0.0,1.0,7.0,0.0,6.0,0.0,8.0,0.0,0.0,0.0,26.0,21.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,South Central (West)
